iter,time,reward,steps,convergence
1,0.0015394670000006272,-601.89,300.0,91.06
2,0.0023476060000007237,-615.2,298.83,81.16
3,0.007151411999998913,-497.75,300.0,71.96560000000001
4,0.00792354600000067,-456.23,300.0,64.02560000000001
5,0.008696912000004886,-331.63,300.0,54.596000000000004
6,0.009475008000009666,-371.36,300.0,44.73156922908496
7,0.010221310000005701,-301.94,300.0,34.87180536348496
8,0.010959999999997194,-299.0,300.0,24.971921939528073
9,0.011700340999993841,-299.0,300.0,15.072632301052824
10,0.012456196999991676,-299.0,300.0,5.172632362964251
11,0.013200060999992047,-299.0,300.0,3.2126323893470725
12,0.013908876999991548,-299.0,300.0,3.2126511534551114
13,0.014998919999982263,-299.0,300.0,2.5070512680123485
14,0.01572551199998884,-299.0,300.0,0.5470525451825623
15,0.016493263999990404,-299.0,300.0,0.0766791311600727
