iter,time,reward,steps,shape
15,0.185151518,98.63,3.37,2
18,0.11527668300000005,95.83,6.17,3
22,0.16038595499999997,93.13,8.87,4
26,0.17682769599999992,90.43,11.57,5
30,0.22146993700000017,85.19,16.81,7
35,0.5770532099999999,77.53,24.47,10
43,0.88510255,64.08,37.92,15
51,1.6806977189999994,49.86,52.14,20
65,3.1809168680000006,37.27,64.73,25
69,4.572414275,24.31,77.69,30
78,7.900839140999999,10.78,91.22,35
90,13.353427350000004,-3.6,105.6,40
107,25.260863281000013,-28.98,130.98,50
