iter,time,reward,steps,convergence
1,0.000849297000002025,-280.48,198.82,91.14
2,0.0016739420000249083,-347.32,199.54,82.77740800000001
3,0.002451510000014423,-185.5,177.54,74.11248346644369
4,0.002856113000007099,-199.22,199.92,65.76058731312956
5,0.003024426000024505,-209.4,200.0,57.031198506892906
6,0.003736466000020755,-197.62,196.18,47.314468489593835
7,0.008191221999993559,-219.94,198.16,38.49371957333243
8,0.008950164999987464,-200.92,199.34,29.037243029812725
9,0.009303911999950287,-205.96,197.24,19.9775474129653
10,0.009608424999953513,-415.92,200.0,11.56902684647778
11,0.010218516999941585,-235.14,199.52,9.850827368478019
12,0.010976598999945963,-199.98,196.48,9.743846498907601
13,0.011108353999986775,-190.58,192.82,8.936707016308123
14,0.011236338000003343,-203.2,200.0,8.615571729143515
15,0.01176163700000643,-212.92,200.0,7.962430799535909
16,0.018533257999990838,-218.28,196.98,9.421461005145002
17,0.018706254999983685,-159.1,170.64,8.93123737600988
18,0.018933076999985587,-204.58,200.0,10.787416247767707
19,0.019760225999959857,-211.14,200.0,10.918181628249393
20,0.020271642999944106,-345.82,198.32,9.68199886043578
21,0.020865700999934234,-19.3,81.28,10.673290089190399
22,0.021249100999909842,-205.24,198.3,9.453176140400831
23,0.024167924999858315,-210.1,186.0,9.392974138512884
24,0.02429157999989684,-94.18,129.4,8.58631937222977
25,0.024587425999925472,-177.34,184.96,8.190976383910849
26,0.025005110999927638,-182.94,186.3,8.000023855196847
27,0.025203900999940743,-194.0,196.44,7.75743659576099
28,0.025668251999945824,-80.66,116.78,5.97015477490546
29,0.026185993999945367,-84.62,117.82,5.633039578051907
30,0.026745947999927466,-123.42,125.86,6.992556950190869
31,0.027097471999923073,-171.88,178.84,6.860285849572755
32,0.02737613599992983,-148.64,166.46,6.891431830610531
33,0.027794715999959863,-75.02,109.68,7.054669620643624
34,0.027904153999941173,-129.76,153.12,6.88193602859216
35,0.02822558499991601,-63.54,126.14,7.0331700289446335
36,0.028809364999915488,-152.18,179.74,5.876414441266105
37,0.02903924699990057,-44.46,92.08,5.736845731769413
38,0.029192166999905567,-170.44,178.92,5.897758721513927
39,0.029451929999879667,-199.0,200.0,5.582106960357531
40,0.029772792999892772,-134.68,170.48,4.341385391691242
41,0.02984689999988177,-45.4,89.92,3.981567226017873
42,0.02991737799987959,-114.06,141.74,5.776068062357316
43,0.030178603999900133,-170.6,186.02,5.434461844526421
44,0.03034111999994593,-3.06,69.4,6.492482862343515
45,0.03060333099995205,30.38,28.7,6.518527021816138
46,0.030688543999929152,36.58,28.3,7.44760315406644
47,0.031048830999907295,-186.6,169.18,9.057451438571471
48,0.03134236699992243,-5.36,87.82,9.600764671229024
