iter,time,reward,steps,convergence
1,0.0008525299999746494,-460.7,300.0,91.14
2,0.0022024270001566038,-469.57,300.0,83.31168
3,0.0029999050002516015,-332.64,300.0,75.48336
4,0.003816003999872919,-431.0,298.66,67.2173360563899
5,0.004626645999906032,-652.28,300.0,59.83609152517329
6,0.005446235999897908,-302.24,300.0,52.05757248517328
7,0.006268273999921803,-379.97,300.0,44.19757248517328
8,0.009991399999762507,-331.76,300.0,35.002084485173285
9,0.010836043999461253,-358.97,300.0,27.252452485173286
10,0.011742515999685565,-371.36,300.0,18.869666385973282
11,0.012570614999731333,-299.09,300.0,18.040101967156108
12,0.013397915000041394,-299.0,300.0,17.93468643349616
13,0.014250556000206416,-414.1,300.0,16.041293945728825
14,0.019086134000190214,-371.81,297.22,14.847317889338935
15,0.020019289000174467,-676.82,299.63,13.416062523482205
16,0.02085970200050724,-327.47,300.0,11.646342621657304
17,0.021759252000265406,-473.75,300.0,11.644089786760496
18,0.022585253000215744,-452.45,300.0,12.978782744968498
19,0.023399178000545362,-322.66,300.0,12.888022194568498
20,0.024186378000194964,-381.75,300.0,11.952826086705606
21,0.0249568930003079,-461.13,299.52,13.111590510806618
22,0.02587018500071281,-572.29,300.0,11.41763651633865
23,0.026819607001016266,-395.34,300.0,13.270226203371118
24,0.027690126000834425,-421.28,300.0,13.441309512225583
25,0.02853479000077641,-596.79,299.22,13.022373217112559
26,0.029357929000525473,-317.41,300.0,14.810133327715453
27,0.03020091600046726,-352.19,300.0,14.812066162612263
28,0.03105996700014657,-310.42,299.83,14.769983567356268
29,0.03595859200049745,-344.26,300.0,14.990586990004275
30,0.03679908800086196,-413.66,300.0,16.985642727651744
31,0.03723836100107292,-352.44,300.0,16.097422226257333
32,0.03807850600105667,-344.93,300.0,18.185160860004334
33,0.038950219000980724,-391.85,300.0,18.040574432712575
34,0.03975416400089671,-320.74,300.0,19.40785470156164
35,0.040455239000948495,-301.45,300.0,20.910240226527282
36,0.04125584800112847,-539.38,300.0,20.81288456962767
37,0.04205001100081063,-372.46,299.4,20.01634985430075
38,0.0428606900009072,-356.37,300.0,18.29930872790764
39,0.04367862300068737,-530.59,299.45,18.158559151466864
40,0.04429056800063336,-311.55,300.0,17.220884988505382
41,0.0451283430006697,-318.02,299.55,17.590439769489365
42,0.04594534100033343,-400.09,300.0,16.529774585214675
43,0.04676443200014546,-352.83,300.0,16.30670811101011
44,0.04725132299972756,-367.94,300.0,16.173093310469856
45,0.05208891499978563,-325.04,300.0,15.227044854040022
46,0.052923822999673575,-496.94,300.0,14.537549071721504
47,0.05371865499955675,-342.12,300.0,15.138463879090335
48,0.05450236899969241,-326.97,299.74,15.685032098082292
49,0.055340036999950826,-471.26,298.79,14.896131430284166
50,0.05611326199959876,-408.72,300.0,15.224080234568333
51,0.05700917499962088,-302.68,300.0,14.629225949694922
52,0.05782448999934786,-389.75,300.0,15.58714108131901
53,0.058612616999653255,-360.63,300.0,15.734283927911264
54,0.05945436499951029,-385.31,299.94,14.376228062090803
55,0.06024528499938242,-484.14,296.4,15.302558238821536
56,0.06100314399918716,-399.36,270.26,16.04325231926317
57,0.061641532999146875,-517.33,235.1,14.802613866074784
58,0.06227624199891579,-603.87,292.05,15.031822442553885
59,0.06280366599912668,-381.6,299.01,15.110042184325678
60,0.06362732599927767,-615.56,299.65,14.60855628657605
61,0.06443606999937401,-391.64,300.0,15.269925540018992
62,0.06524524999940695,-354.09,296.63,13.53702420471168
63,0.06607283599942093,-454.32,299.9,12.226389694851758
64,0.06688408299942239,-471.36,296.89,14.011981415415903
65,0.06773244499936482,-318.05,300.0,14.193417408296359
66,0.06853600199929133,-433.25,298.85,15.013462711091847
67,0.06934139299892195,-392.34,287.38,16.96851140667599
68,0.0701535159987543,-360.26,288.77,16.705104194121976
69,0.07094936199882795,-352.11,289.3,15.782911875244096
70,0.07153125199874921,-356.47,293.42,16.59339154540162
71,0.07638887999883082,-313.14,289.77,15.202562967011309
72,0.07728472999860969,-313.37,287.38,15.333092047698699
73,0.07792508599868597,-325.07,297.63,15.158948083010046
74,0.0787308339986339,-333.38,300.0,14.708852992892815
75,0.07955232699850967,-328.17,296.27,12.917952615981747
76,0.08040444299831506,-358.45,269.25,11.986608724018279
77,0.08122116099821142,-501.89,279.48,11.635337039714809
78,0.08174779299815782,-371.93,292.6,11.36182405068283
79,0.08249881599795117,-355.21,298.16,12.29395226559094
80,0.0833113559983758,-337.87,293.9,10.545543467022908
81,0.08413611099831542,-449.55,283.02,11.251080087284418
82,0.08493927999825246,-456.17,299.28,11.062962249922998
83,0.08576229699792748,-434.25,266.14,12.65789661087049
84,0.08659513499787863,-335.18,296.55,11.462072372185252
85,0.08741675699775442,-465.07,297.57,11.451726445474074
86,0.08824401999754627,-429.14,290.7,9.845125249299539
87,0.0890500329974202,-358.77,297.52,8.480987903632043
88,0.0898398449976412,-399.91,298.79,9.373964248058627
89,0.09062111999764966,-371.04,295.66,8.787210379906506
90,0.09144320999757838,-446.58,294.27,10.26400230496312
91,0.09473255299735683,-344.7,298.38,9.535943896103701
92,0.09521760499728771,-614.06,280.04,10.888315927213974
93,0.09582341199757138,-336.21,300.0,10.104418680358009
94,0.09664222299761605,-306.14,300.0,11.153707868162257
95,0.09747513999764124,-447.95,294.29,13.104499434185986
96,0.09818556799746148,-299.0,300.0,14.048218903553769
97,0.0987677599973722,-348.31,296.73,14.28738027670764
98,0.09941421999701561,-474.17,299.52,15.64923028630015
99,0.10023115299691199,-325.56,288.8,16.6672360163844
100,0.10069240999700924,-322.09,298.24,15.245042301992251
101,0.10106417199722273,-497.59,300.0,15.4544792544827
102,0.10188406799716176,-400.31,299.3,14.261964504855666
103,0.10274767699684162,-354.46,294.36,15.344005581753157
104,0.10324147099663605,-476.91,297.33,14.430719054590664
105,0.10409147399650465,-586.27,296.0,13.75026775051937
106,0.1048769829963021,-472.2,299.85,14.348368623448644
107,0.1057047409963161,-341.35,292.15,13.848014198276093
108,0.10659399099631628,-434.53,280.33,11.817823006453242
109,0.10742657499667985,-307.44,288.98,10.478709409357071
110,0.10808135399656749,-322.21,288.61,10.469558084774746
111,0.10889260999647377,-266.91,258.1,10.154788703228473
112,0.10913924899659833,-435.84,288.34,11.43804170468493
113,0.1094283249963155,-278.26,214.32,11.627084370773584
114,0.10980738899661446,-220.58,182.76,12.639282492965227
115,0.11058331699678092,-258.18,227.42,12.333494990139908
116,0.11094964199673996,-318.76,243.67,11.461797830549077
117,0.11176015599676248,-385.61,285.13,11.79697945882118
118,0.11269403199685257,-298.58,267.67,12.441296603559326
119,0.11310683299689117,-299.78,294.12,14.901890536212596
120,0.11338979499714696,-330.29,212.64,14.778726638771213
121,0.11399832799679643,-460.24,254.36,15.775171417693818
122,0.11443133599686917,-305.88,261.78,14.24734365507878
123,0.11496182699693236,-325.86,300.0,13.843426308984249
124,0.1157693649970497,-302.92,300.0,12.367003946293025
125,0.11662265599716193,-327.87,299.61,13.104613302528241
126,0.11734045599723686,-392.47,257.51,12.891572073966799
127,0.11765234599715768,-404.92,297.08,13.226574650698012
128,0.11847517099704419,-803.7,300.0,12.550004201346487
129,0.12217627099698802,-336.1,288.33,12.79996471994821
130,0.12272355299728588,-378.51,287.68,13.00076587867505
131,0.12356453099755527,-303.85,297.72,12.125602548292623
132,0.12442160399768909,-318.21,280.4,12.239632665088193
133,0.12496729399754258,-346.72,265.76,10.875982618864978
134,0.1259523919975436,-339.59,249.23,11.119825427009658
135,0.12624484999787455,-302.52,275.27,9.828739361543594
136,0.12710175299753246,-192.05,209.59,9.545867207248028
137,0.12742517599781422,-312.97,272.82,10.282186175926734
138,0.12823366399788938,-301.81,268.83,11.154985606277851
139,0.12889923799775715,-304.39,273.23,8.648244618960218
140,0.1292264519975106,-320.24,274.01,8.981133933233417
141,0.12947979999762538,-324.99,295.14,9.460451746825763
142,0.1299852369979817,-296.58,262.89,9.488554700211543
143,0.13057232799792473,-460.78,231.86,11.80452169818359
144,0.131395758997769,-315.12,287.2,12.823422257842314
145,0.13227381099750346,-266.6,194.64,13.366716803934196
146,0.13264621899770646,-357.35,257.95,14.806609458284012
147,0.13572866299773523,-295.79,277.47,14.3619692420925
148,0.13653252699805307,-219.98,195.34,14.770217962085491
149,0.13702963499827092,-420.35,298.01,15.170524219820715
150,0.13798264099796143,-441.05,286.14,16.542419513158855
