,-4,-1,0,1,4
0,-88.6256127714,-80.231865123,-75.0325698192,-95.3619195815,-64.1901798588
1,-94.9417109396,-99.9999100632,-81.6449977088,-89.4717442594,-7.76569664181
2,-83.2934383043,-63.9877395515,-86.3477660254,-90.6101358859,-85.6269297263
3,-82.2086829859,-30.9262749079,-86.9203227372,-64.9038439854,-82.4273478722
4,-85.166024255,-26.177885641,-71.947401905,-91.005616455,-66.06768383
5,-98.6057900025,-99.9999259618,-96.4253243345,-85.8257276233,-6.98912697763
6,-75.3978648952,-84.182211194,-86.7259431236,100.0,-69.7163420981
7,-77.9069294436,-84.8021560601,-72.4137842513,-74.2505994206,-77.5296853515
