,-4,-1,0,1,4
0,-28.9289879229,-1.19789476123,-33.8927099362,-52.5392741431,-31.8510394672
1,-36.0985626381,-98.9521644919,-42.5453630895,-35.806881543,44.6150277572
2,-49.2705985996,-43.9192528276,-42.418391861,-46.625889865,-32.8105937879
3,-30.0366957853,17.8202349749,-33.8356766646,-30.8552118245,-35.4466052374
4,-24.7281829079,26.6567503018,-33.0492536431,-20.0461244792,-46.3760097544
5,-35.4663805996,-94.3469613632,-41.9690167412,-32.7621667211,-42.845716679
6,-34.4006175678,-30.2051523099,-38.717435461,17.8559154783,-34.1782536141
7,-39.8226743353,-37.8384669666,-35.5843793247,-36.4024074679,-41.1500348688
