,-4,-1,0,1,4
0,-86.5074671974,-87.4199251213,-87.6629816813,-53.5968271156,-86.6561862065
1,-93.6603005308,-89.2939850023,-91.0702501686,-93.7376228714,-93.5351744358
2,-80.2927004677,-80.2908478949,-80.2922877014,-80.3060982681,-80.2934196135
3,-81.1016327773,-78.9775720501,-78.9969361202,-78.9831395563,-80.778239261
4,-73.1669832835,-73.1757902857,-73.4924557952,-73.6582701544,-73.5931053675
5,-71.5452145373,-35.0740316657,-75.2008683185,-73.7811844611,-74.9211959568
6,-86.4596972939,-94.0007189433,-94.1210403581,-94.554882745,-94.1801117513
7,-85.1023548529,-81.4637050773,-82.3614561826,-84.9413758139,-84.9780666285
