,-4,-1,0,1,4
0,-63.2809924373,-68.5790592661,-70.7060211006,-75.354636253,-67.3767399351
1,-67.9103646796,-86.9598658394,-68.0133081391,-65.7827118831,-72.6097440358
2,-87.0935610971,-48.5595534777,-78.7278364065,100.0,-76.8571743056
3,-74.7422502126,19.6478907611,-69.4314466268,-70.2902964928,-74.5117901059
4,-81.6830146438,-76.9307385631,-71.362226279,-73.6524185968,-71.7129166841
5,-83.1869155022,-82.2745808973,-74.8599654958,-86.5393375543,-69.8023830791
6,-79.594099656,-76.4560093352,-56.2064804708,-73.0919020924,-78.9529062878
7,-81.6354493431,-63.2673219364,-82.1424519065,-76.2514541676,-96.1268857603
