Date,Open,High,Low,Close,Volume,Adj Close
1998-04-06,106.25,106.5,105.0,106.0,3679300,35.993
1998-04-07,105.75,105.81,103.56,104.69,2723200,35.5482
1998-04-08,104.75,105.62,103.75,104.5,2693600,35.4837
1998-04-09,105.62,106.5,105.31,106.37,3030000,36.1187
1998-04-13,106.56,107.81,104.19,104.19,4085000,35.3784
1998-04-14,105.0,106.25,104.62,106.25,2385500,36.0779
1998-04-15,107.0,109.81,106.5,109.75,4552100,37.2664
1998-04-16,109.37,110.0,107.62,107.81,3380600,36.6076
1998-04-17,107.44,107.94,106.5,107.75,3154000,36.5872
1998-04-20,107.94,111.25,107.19,111.19,4924300,37.7553
1998-04-21,114.0,118.5,113.62,118.0,12301600,40.0677
1998-04-22,118.0,120.0,114.62,114.75,6546800,38.9641
1998-04-23,114.5,117.62,114.12,117.5,4778800,39.8979
1998-04-24,116.75,117.94,116.25,117.37,3956200,39.8538
1998-04-27,116.25,116.62,114.37,115.31,4297500,39.1543
1998-04-28,116.12,118.5,115.31,115.69,5187100,39.2833
1998-04-29,115.69,116.87,114.62,115.56,3403900,39.2392
1998-04-30,116.06,117.44,115.5,115.87,3557500,39.3444
1998-05-01,115.94,117.37,115.5,116.87,2476500,39.684
1998-05-04,117.12,118.87,116.62,116.62,2656500,39.5991
1998-05-05,116.69,118.25,116.69,117.81,2696600,40.0032
1998-05-06,118.0,118.94,117.25,117.25,3182500,39.8877
1998-05-07,117.5,117.75,116.12,117.12,2654400,39.8435
1998-05-08,116.94,120.0,116.87,120.0,3883400,40.8233
1998-05-11,120.19,122.75,118.31,119.31,4771400,40.5885
1998-05-12,118.25,120.0,117.31,119.62,3773800,40.694
1998-05-13,120.25,122.25,120.12,121.87,3963300,41.4594
1998-05-14,123.37,129.31,122.87,125.81,10528600,42.7998
1998-05-15,125.62,127.75,124.12,124.94,5598900,42.5038
1998-05-18,124.75,125.75,123.44,124.62,3525500,42.395
1998-05-19,125.62,127.0,124.75,125.0,3898000,42.5242
1998-05-20,125.25,125.81,122.56,123.5,3014100,42.014
1998-05-21,123.5,124.19,121.94,123.62,2917700,42.0548
1998-05-22,123.62,123.62,121.12,121.94,1998500,41.4833
1998-05-26,122.37,123.0,120.81,121.0,3475700,41.1635
1998-05-27,119.31,121.5,118.56,120.25,5019200,40.9083
1998-05-28,120.25,121.62,119.81,120.06,2972200,40.8437
1998-05-29,120.56,120.94,117.37,117.5,2855400,39.9728
1998-06-01,117.37,118.31,114.62,117.19,3653700,39.8673
1998-06-02,117.19,117.69,114.81,115.56,3891300,39.3128
1998-06-03,116.0,116.62,113.87,113.87,2940900,38.7379
1998-06-04,114.25,116.19,114.25,116.06,3033300,39.4829
1998-06-05,116.75,119.0,116.56,118.87,4122700,40.4389
1998-06-08,118.75,120.0,118.37,118.81,1875000,40.4184
1998-06-09,119.0,119.56,117.81,119.25,1871100,40.5681
1998-06-10,118.75,119.62,116.87,117.25,3281100,39.8877
1998-06-11,117.5,118.06,115.75,116.0,2678600,39.4625
1998-06-12,115.87,116.81,114.0,116.25,4020700,39.5475
1998-06-15,114.62,115.44,112.12,112.25,4203700,38.1868
1998-06-16,111.87,111.87,107.12,110.0,8814100,37.4213
1998-06-17,111.0,112.19,110.06,111.0,5622600,37.7615
1998-06-18,109.0,109.12,107.62,108.81,4240700,37.0165
1998-06-19,108.75,109.25,106.0,106.12,4884000,36.1014
1998-06-22,106.25,109.5,106.19,108.12,4276900,36.7818
1998-06-23,110.0,112.31,109.94,111.75,4039200,38.0167
1998-06-24,111.87,112.12,110.06,112.0,3030000,38.1017
1998-06-25,112.5,114.69,112.0,112.44,3187800,38.2514
1998-06-26,112.37,113.44,112.31,113.0,1636400,38.4419
1998-06-29,114.12,114.81,113.56,114.12,2184600,38.8229
1998-06-30,114.12,116.31,113.5,114.81,4356000,39.0577
1998-07-01,116.0,116.94,115.5,116.75,3166400,39.7176
1998-07-02,116.56,116.62,114.5,115.19,3219800,39.1869
1998-07-06,115.0,115.06,113.31,113.69,3199200,38.6767
1998-07-07,113.62,114.5,112.75,113.87,2274900,38.7379
1998-07-08,113.75,115.56,113.62,115.0,2258200,39.1223
1998-07-09,114.75,118.5,114.62,117.06,3189500,39.8231
1998-07-10,118.25,119.25,117.37,118.5,3070100,40.313
1998-07-13,118.5,120.0,118.25,119.37,2339800,40.609
1998-07-14,119.75,120.62,119.0,119.62,2268600,40.694
1998-07-15,119.25,120.0,117.0,117.0,2557800,39.8027
1998-07-16,117.12,118.94,116.0,118.37,2180100,40.2688
1998-07-17,118.56,120.37,118.5,120.19,3168400,40.8879
1998-07-20,121.0,123.0,120.31,122.0,4489200,41.5037
1998-07-21,128.25,131.0,127.75,128.13,12308600,43.5891
1998-07-22,126.0,128.44,124.5,127.44,6050900,43.3543
1998-07-23,127.19,129.0,123.69,123.87,4153100,42.1398
1998-07-24,125.87,125.94,122.5,124.25,2874600,42.2691
1998-07-27,123.75,125.75,122.25,125.5,3672700,42.6943
1998-07-28,126.25,126.94,124.19,125.44,4245300,42.6739
1998-07-29,127.94,128.44,127.06,127.87,4019800,43.5006
1998-07-30,128.63,133.75,128.44,133.38,5476700,45.3751
1998-07-31,133.25,138.13,132.25,132.5,6594000,45.0757
1998-08-03,134.0,134.88,132.31,132.75,4177900,45.1607
1998-08-04,134.0,134.25,126.81,126.81,6688900,43.14
1998-08-05,127.0,129.25,124.0,128.75,6553600,43.8
1998-08-06,127.81,130.94,127.37,129.75,4101300,44.215
1998-08-07,131.75,134.25,129.13,129.13,5765300,44.0037
1998-08-10,128.88,130.13,128.75,129.88,3027700,44.2593
1998-08-11,126.12,128.5,125.31,128.5,5114700,43.789
1998-08-12,128.75,129.56,127.56,128.0,3682300,43.6187
1998-08-13,127.56,128.38,126.0,126.19,3026800,43.0019
1998-08-14,126.62,127.37,124.0,125.37,3147900,42.7224
1998-08-17,125.12,126.0,124.25,125.12,3177500,42.6372
1998-08-18,127.0,129.5,127.0,128.88,3791900,43.9185
1998-08-19,129.5,131.0,129.06,129.94,3571100,44.2798
1998-08-20,129.5,130.06,127.5,128.06,3040300,43.6391
1998-08-21,127.5,128.0,124.5,127.87,4220400,43.5744
1998-08-24,128.0,128.69,127.31,128.56,2885400,43.8095
1998-08-25,129.13,130.88,127.62,128.44,2632200,43.7686
1998-08-26,127.25,131.75,127.0,130.88,4411700,44.6001
1998-08-27,128.75,128.75,124.81,125.25,7346900,42.6815
1998-08-28,125.25,125.81,120.81,122.56,5802600,41.7649
1998-08-31,123.0,123.37,112.62,112.62,7486300,38.3776
1998-09-01,113.0,118.94,110.75,117.94,8399700,40.1905
1998-09-02,121.0,123.75,119.87,120.5,5627800,41.0629
1998-09-03,118.75,122.69,118.06,121.75,4823100,41.4888
1998-09-04,122.5,122.87,115.31,119.37,4122900,40.6778
1998-09-08,124.94,125.94,122.19,125.94,4642500,42.9167
1998-09-09,125.75,127.44,123.37,123.5,4994700,42.0852
1998-09-10,122.12,122.5,118.19,122.5,5579800,41.7444
1998-09-11,121.37,126.56,120.62,126.56,4965100,43.1279
1998-09-14,128.0,129.94,127.62,129.13,4557100,44.0037
1998-09-15,129.0,130.69,128.5,130.0,3246800,44.3002
1998-09-16,130.0,130.94,128.19,130.5,3319400,44.4706
1998-09-17,127.5,128.25,126.19,126.75,4420200,43.1927
1998-09-18,126.75,127.25,124.25,124.69,4606200,42.4907
1998-09-21,120.12,128.63,120.0,128.19,4356600,43.6834
1998-09-22,129.38,130.63,127.69,127.75,4295600,43.5335
1998-09-23,128.75,133.0,128.5,132.06,4330400,45.0022
1998-09-24,131.56,134.94,130.25,130.56,4200200,44.491
1998-09-25,130.0,133.69,129.81,133.5,3653100,45.4929
1998-09-28,134.5,136.19,132.19,133.63,3820400,45.5372
1998-09-29,133.75,134.13,130.0,131.44,3544900,44.7909
1998-09-30,130.75,131.5,127.62,128.5,4149700,43.789
1998-10-01,125.06,126.44,123.37,125.37,6268700,42.7224
1998-10-02,124.12,125.25,118.94,124.81,7302600,42.5316
1998-10-05,123.75,123.75,117.31,120.25,6721000,40.9777
1998-10-06,124.0,124.0,118.75,119.25,7183700,40.6369
1998-10-07,119.5,122.87,118.12,120.75,6582400,41.1481
1998-10-08,120.75,123.5,116.81,123.5,9156300,42.0852
1998-10-09,124.44,127.94,122.5,127.31,5841600,43.3835
1998-10-12,130.13,132.88,129.56,130.88,5402500,44.6001
1998-10-13,130.5,130.5,126.56,128.19,4696800,43.6834
1998-10-14,127.75,132.0,127.19,130.5,4795900,44.4706
1998-10-15,130.0,138.75,129.75,136.5,6532700,46.5152
1998-10-16,137.0,137.5,134.81,135.94,5169100,46.3244
1998-10-19,135.0,139.81,135.0,139.38,4404700,47.4966
1998-10-20,140.63,142.44,136.5,137.88,5663500,46.9855
1998-10-21,140.13,143.69,139.0,142.69,8507900,48.6246
1998-10-22,140.0,143.5,139.63,141.81,4747900,48.3247
1998-10-23,141.5,143.44,141.19,141.56,3145500,48.2395
1998-10-26,141.31,144.44,140.06,143.06,3677300,48.7507
1998-10-27,145.0,146.81,143.06,144.38,5708600,49.2005
1998-10-28,144.63,146.88,143.81,146.19,3634900,49.8173
1998-10-29,148.0,149.5,147.0,148.75,5078000,50.6897
1998-10-30,149.5,149.81,147.5,148.5,3923100,50.6045
1998-11-02,148.44,149.69,147.31,148.38,3482700,50.5636
1998-11-03,148.5,149.94,147.19,147.38,3456500,50.2228
1998-11-04,148.88,149.75,145.75,147.88,4096300,50.3932
1998-11-05,147.69,149.56,146.81,149.0,3293000,50.7748
1998-11-06,148.88,150.94,147.5,149.94,3569000,51.1701
1998-11-09,150.75,152.19,149.94,151.38,3788700,51.6616
1998-11-10,150.88,156.75,150.69,156.0,4371500,53.2382
1998-11-11,157.0,158.88,156.5,157.13,5109100,53.6239
1998-11-12,156.69,159.88,156.63,157.88,4333900,53.8798
1998-11-13,157.0,157.5,155.75,157.44,2997600,53.7297
1998-11-16,158.63,159.69,158.06,159.38,3421000,54.3917
1998-11-17,159.38,161.38,158.0,158.0,4366700,53.9208
1998-11-18,158.06,159.63,157.63,159.0,2922800,54.2621
1998-11-19,159.5,159.88,158.13,158.56,3164400,54.1119
1998-11-20,158.88,160.13,158.5,160.13,3193900,54.6477
1998-11-23,161.0,167.0,160.56,166.56,3877000,56.8421
1998-11-24,165.5,167.19,165.0,165.25,3320900,56.395
1998-11-25,165.13,166.94,164.38,166.75,1968700,56.9069
1998-11-27,166.63,170.19,166.63,170.0,1337000,58.016
1998-11-30,169.75,170.56,164.88,165.13,2766700,56.354
1998-12-01,163.5,170.0,163.5,169.88,3638300,57.9751
1998-12-02,168.94,169.25,164.75,167.44,3076800,57.1424
1998-12-03,168.25,169.38,163.0,163.5,3229700,55.7978
1998-12-04,164.63,165.38,162.25,164.25,3400100,56.0537
1998-12-07,164.44,168.19,164.25,167.19,2651900,57.0571
1998-12-08,168.19,169.88,165.06,168.19,3714600,57.3983
1998-12-09,168.06,169.94,167.38,169.44,2340300,57.8249
1998-12-10,169.31,170.0,163.75,165.0,3687300,56.3097
1998-12-11,164.0,168.44,163.25,168.0,3492100,57.3335
1998-12-14,166.5,167.0,162.75,162.88,3773700,55.5862
1998-12-15,163.5,165.81,162.5,165.0,3885800,56.3097
1998-12-16,166.88,166.88,164.31,164.38,2826400,56.0981
1998-12-17,165.44,169.63,165.06,166.06,4381600,56.6714
1998-12-18,166.63,172.19,166.63,171.56,4908400,58.5484
1998-12-21,171.56,178.94,171.56,176.38,3739300,60.1933
1998-12-22,177.5,183.0,175.25,182.25,4352300,62.1966
1998-12-23,182.69,185.38,181.13,185.0,3535000,63.1351
1998-12-24,184.75,187.94,184.06,187.94,1524900,64.1384
1998-12-28,186.5,189.94,186.0,189.25,2634600,64.5855
1998-12-29,188.63,188.94,187.0,187.13,1881100,63.862
1998-12-30,186.88,188.63,186.31,186.75,2406600,63.7323
1998-12-31,186.75,187.19,183.5,184.38,1932400,62.9235
1999-01-04,185.0,186.5,181.5,183.0,4074800,62.4526
1999-01-05,183.0,189.88,182.81,189.63,4953800,64.7152
1999-01-06,190.31,192.75,188.5,188.75,4769800,64.4149
1999-01-07,187.94,192.38,187.0,190.19,4153400,64.9063
1999-01-08,191.0,192.0,185.63,187.56,4588400,64.0087
1999-01-11,189.0,189.44,187.0,189.25,3630800,64.5855
1999-01-12,190.0,190.0,184.0,185.06,3381800,63.1556
1999-01-13,183.0,187.44,179.5,185.5,4952700,63.3057
1999-01-14,183.63,184.94,178.88,180.63,4500000,61.6437
1999-01-15,182.25,185.5,181.25,184.94,3394800,63.1146
1999-01-19,187.75,192.5,185.5,192.25,4199300,65.6093
1999-01-20,195.0,199.25,192.63,194.5,6317300,66.3772
1999-01-21,197.63,198.25,192.06,197.0,10202300,67.2303
1999-01-22,184.0,185.5,177.63,179.75,19042500,61.3434
1999-01-25,182.25,182.63,173.5,182.0,11687700,62.1113
1999-01-26,183.75,186.5,181.88,185.63,9548500,63.3501
1999-01-27,186.81,186.81,177.81,178.31,8916600,60.852
1999-01-28,179.5,181.31,177.56,178.69,5970600,60.9817
1999-01-29,178.69,183.94,178.5,183.25,5057900,62.5379
1999-02-01,184.5,184.5,179.5,179.75,3703600,61.3434
1999-02-02,179.56,180.69,175.0,176.75,5863600,60.3196
1999-02-03,175.88,177.0,173.06,175.25,5598300,59.8077
1999-02-04,175.19,176.5,169.25,169.56,5807600,57.8659
1999-02-05,170.44,171.0,164.56,166.0,8478800,56.6509
1999-02-08,167.0,168.88,163.13,167.0,5993300,57.0673
1999-02-09,167.0,169.5,161.75,162.75,5405600,55.615
1999-02-10,162.5,168.88,162.5,168.88,5426700,57.7097
1999-02-11,170.25,178.81,168.13,178.5,6282400,60.9971
